Flight_Number,Date,Day_of_Week,Source,Destination,Departure_Time,Arrival_Time,Price,Aircraft_Type,Class,Seat_Occupancy_Rate,Delay_Status,Delay_Minutes,Weather_Conditions,Passenger_Rating,Meal_Opted,Booking_Channel,Duration_Minutes
6E8177,2025-06-20,Sunday,Maa,Hyd,01:44:00,03:04:00,4115.31,A320,Economy,86.99,On-Time,0.0,Clear,5.0,Yes,App,140
6E7900,2025-06-03,Tuesday,Hyd,Bom,08:30:00,10:49:00,8292.7,A320,Economy,81.93,On-Time,0.0,Rainy,3.0,Yes,App,139
6E9221,2025-01-24,Thursday,Ccu,Bom,06:24:00,09:24:00,6552.36,A320,Economy,90.28,On-Time,0.0,Cloudy,4.0,No,App,180
6E1619,2024-10-19,Monday,Blr,Pnq,00:49:00,03:15:00,5786.21,A321Neo,Economy,89.54,On-Time,0.0,Storm,3.0,Yes,Website,206
6E8668,2025-02-27,Wednesday,Goi,Del,13:57:00,16:00:00,8364.43,A320Neo,Economy,82.06,On-Time,0.0,Cloudy,1.0,No,App,183
6E7814,2025-04-24,Monday,Del,Bom,19:21:00,21:08:00,3031.69,A320Neo,Economy,97.67,On-Time,0.0,Rainy,4.0,No,App,167
6E8456,2024-09-10,Monday,Hyd,Pnq,23:27:00,02:30:00,3147.66,A320,Economy,85.0,On-Time,0.0,Clear,4.0,No,Airport,183
6E2470,2024-11-30,Thursday,Maa,Ccu,13:36:00,15:38:00,3486.0,A320Neo,Economy,88.71,Delayed,0.0,Fog,4.0,Yes,Travel Agency,122
6E8160,2025-07-05,Sunday,Hyd,Bom,05:03:00,08:23:00,3954.67,A320,Economy,76.85,Delayed,28.0,Rainy,3.0,Yes,Travel Agency,200
6E8128,2024-08-12,Wednesday,Blr,Amd,11:06:00,12:21:00,2732.67,A320Neo,Economy,89.36,On-Time,0.0,Cloudy,2.0,No,App,75
6E7353,2025-04-17,Wednesday,Maa,Del,05:07:00,08:40:00,4923.54,A320Neo,Economy,90.41,Delayed,67.0,Storm,1.0,No,Travel Agency,213
6E7296,2024-08-26,Friday,Amd,Goi,15:09:00,18:36:00,7803.31,A320Neo,Economy,97.63,On-Time,0.0,Rainy,1.0,Yes,App,207
6E5433,2024-08-29,Sunday,Blr,Bom,22:55:00,23:05:00,4812.92,A321Neo,Economy,80.22,On-Time,0.0,Storm,5.0,Yes,App,70
6E9909,2024-10-14,Wednesday,Hyd,Amd,01:27:00,03:54:00,3876.3,A321Neo,Economy,95.74,On-Time,0.0,Storm,2.0,No,Airport,147
6E4567,2024-08-06,Friday,Goi,Hyd,20:34:00,21:40:00,2920.95,A321Neo,Economy,88.14,On-Time,0.0,Rainy,5.0,Yes,Airport,66
6E4551,2024-09-02,Monday,Maa,Amd,11:50:00,14:54:00,5337.92,A320Neo,Economy,82.95,Delayed,44.0,Cloudy,2.0,No,App,184
6E8543,2025-06-02,Wednesday,Hyd,Bom,01:28:00,04:54:00,8340.87,A320Neo,Economy,93.54,On-Time,0.0,Cloudy,5.0,No,Website,206
6E5900,2025-07-18,Saturday,Hyd,Pnq,14:50:00,16:53:00,3591.83,A321Neo,Economy,70.54,On-Time,0.0,Clear,2.0,Yes,Website,123
6E5279,2024-12-07,Monday,Pnq,Amd,15:51:00,18:18:00,3093.72,A321Neo,Economy,75.84,On-Time,0.0,Fog,3.0,No,App,207
6E9694,2024-11-30,Tuesday,Bom,Ccu,10:33:00,12:06:00,3316.59,A321Neo,Economy,89.29,On-Time,0.0,Fog,3.0,Yes,Airport,153
